layout,status,duration_seconds,num_results,output_dir,results_path,metrics
recency,success,47.098306,2,output\layout_experiments\20250628_081104\recency,output\layout_experiments\20250628_081104\recency\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
standard,success,66.542277,2,output\layout_experiments\20250628_081104\standard,output\layout_experiments\20250628_081104\standard\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
sandwich,success,66.940265,2,output\layout_experiments\20250628_081104\sandwich,output\layout_experiments\20250628_081104\sandwich\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
question_first,success,37.968345,2,output\layout_experiments\20250628_081104\question_first,output\layout_experiments\20250628_081104\question_first\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
hop_last,success,40.173857,2,output\layout_experiments\20250628_081104\hop_last,output\layout_experiments\20250628_081104\hop_last\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
minimal_system,success,64.207154,2,output\layout_experiments\20250628_081104\minimal_system,output\layout_experiments\20250628_081104\minimal_system\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
segment_focus,success,39.325129,2,output\layout_experiments\20250628_081104\segment_focus,output\layout_experiments\20250628_081104\segment_focus\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
instruction_first,success,45.50412,2,output\layout_experiments\20250628_081104\instruction_first,output\layout_experiments\20250628_081104\instruction_first\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
structured_json,success,61.883219,2,output\layout_experiments\20250628_081104\structured_json,output\layout_experiments\20250628_081104\structured_json\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
parallel_analysis,success,41.14943,2,output\layout_experiments\20250628_081104\parallel_analysis,output\layout_experiments\20250628_081104\parallel_analysis\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
evidence_based,success,39.700174,2,output\layout_experiments\20250628_081104\evidence_based,output\layout_experiments\20250628_081104\evidence_based\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
xml_structured,success,39.716597,2,output\layout_experiments\20250628_081104\xml_structured,output\layout_experiments\20250628_081104\xml_structured\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
primacy_recency,success,39.682677,2,output\layout_experiments\20250628_081104\primacy_recency,output\layout_experiments\20250628_081104\primacy_recency\model_labels_tot.csv,"{'accuracy': 1.0, 'frame_metrics': {'Neutral': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'tp': 2, 'fp': 0, 'fn': 0}}, 'total_samples': 2, 'correct_samples': 2, 'excluded_unknown': 0}"
